Unnamed: 0,addr,latitude,longitude
120,광진구 광장동 387-1,37.5480701,127.1006935
121,광진구 광장동 554-15,37.5403016,127.1016403
122,광진구 자양동 651-20,37.5307597,127.0813548
123,광진구 화양동 8-36,37.54155220000001,127.0696986
124,광진구 중곡동 68-20,37.5589084,127.0910671
125,동대문구 전농동 604-4,37.5828774,127.050621
126,동대문구 회기동 81- ,37.59012910000001,127.055376
127,성동구 하왕십리동 890-243,37.5616111,127.0270029
128,광진구 능동 18-11,37.5468061,127.0778508
129,중랑구 신내동 351-2,37.61454929999999,127.1009212
130,중랑구 면목동 110-1,37.5856761,127.0913319
131,중랑구 망우동 492-6,37.59767100000001,127.0966698
132,중랑구 상봉동 122-31,37.59318270000001,127.0823863
133,중랑구 중화동 302-57,37.5981593,127.0774472
134,중랑구 면목동 656- ,37.57312320000001,127.0833126
135,중랑구 면목동 351- ,37.5768823,127.084358
136,중랑구 중화동 280-16,37.604121,127.0805124
137,중랑구 면목동 46-3,37.5808711,127.0965242
138,중랑구 신내동 652- ,37.6137871,127.0891913
139,중랑구 상봉동 12-2,37.60664050000001,127.09153290000002
140,영등포구 양평동1가 205- ,37.5233362,126.8882279
141,서초구 양재동 200- ,37.4682722,127.0311235
142,서초구 양재동 200- ,37.4682722,127.0311235
143,서초구 서초동 139-1,37.4765543,127.0137811
144,서초구 방배동 190-2,37.462376,126.9884283
145,서초구 방배동 445-3,37.4768065,126.98253390000002
146,강남구 신사동 649-9,37.5243955,127.0351332
147,강남구 역삼동 635- ,37.5022569,127.0299928
148,강남구 역삼동 635-1,37.5009677,127.02999640000002
149,강남구 일원동 690- ,37.4899751,127.0774748
150,강남구 대치동 501- ,37.4895773,127.0571726
151,강남구 개포동 139- ,37.482797,127.0661575
152,강남구 도곡동 31-1,37.4896583,127.0441451
153,강남구 일원동 621- ,37.4925844,127.0826746
154,서초구 양재동 311- ,37.4716699,127.0423731
155,강남구 개포동 13-1,37.4955897,127.0786243
156,강남구 일원동 732- ,37.4809932,127.07809840000002
157,강남구 논현동 26- ,37.51549489999999,127.0252215
158,강남구 개포동 12-7,37.49198370000001,127.0731913
159,강남구 개포동 12-3,37.4960407,127.0758232
160,강남구 일원동 732-4,37.4807248,127.0807777
161,강남구 일원동 712-4,37.4920982,127.0882175
162,강남구 일원동 63-47,37.4797079,127.0812933
163,강남구 세곡동 96-5,37.4652222,127.1099722
164,강남구 개포동 155- ,37.48581160000001,127.0634887
165,송파구 잠실동 50-3,37.5104037,127.072324
166,송파구 방이동 52- ,37.5142918,127.1139233
167,송파구 송파동 169- ,37.5013053,127.1189117
168,송파구 문정동 150-8,37.4895625,127.1106313
169,송파구 문정동 150-5,37.4906967,127.1138581
170,송파구 가락동 110- ,37.4918088,127.1239642
171,송파구 문정동 2- ,37.4903104,127.1322526
172,송파구 거여동 11- ,37.4968435,127.14169040000002
173,송파구 문정동 92- ,37.4851851,127.1288909
174,송파구 신천동 6- ,37.521333,127.0994876
175,송파구 풍납동 74- ,37.5381806,127.1217703
176,영등포구 당산동4가 74-3,37.52977429999999,126.8978822
177,영등포구 영등포동8가 33-7,37.5267799,126.9034345
178,영등포구 당산동1가 186-23,37.52251939999999,126.901119
179,영등포구 문래동3가 4-38,37.5151446,126.9019676
180,양천구 목동 907-3,37.5351839,126.8786826
181,영등포구 신길동 1373- ,37.5129444,126.9264385
182,강남구 논현동 211-14,37.513487,127.0349177
183,양천구 신정동 329-9,37.5191985,126.8707191
184,금천구 독산동 198-3,37.4678605,126.9096832
185,금천구 가산동 707-1,37.4653409,126.8861175
186,강남구 논현동 89-11,37.5153035,127.0340832
187,구로구 궁동 35- ,37.503345,126.8284466
188,구로구 구로동 631-21,37.49961210000001,126.87174170000002
189,영등포구 여의도동 56- ,37.5175748,126.93049
190,강남구 논현동 106-4,37.5177166,127.0357358
191,강남구 논현동 277-23,37.50988710000001,127.0409941
192,강남구 대치동 2-7,37.4984515,127.0776413
193,강남구 대치동 50-8,37.4972419,127.0702144
194,강남구 대치동 913-18,37.5014809,127.0590719
195,강남구 대치동 942-4,37.5057453,127.0577173
196,강남구 대치동 948-7,37.5061525,127.0635784
197,강남구 도곡동 515-2,37.4833045,127.0428453
198,강남구 도곡동 543-3,37.4922005,127.0419308
199,강남구 도곡동 546-14,37.4910241,127.0376811
200,강남구 도곡동 910-2,37.4856641,127.0399191
201,강남구 삼성동 38-22,37.5115383,127.0470486
202,강동구 둔촌동 600-1,37.5364671,127.1493912
203,강서구 내발산동 737-178,37.5473989,126.8213264
204,강서구 등촌동 631-7,37.5566824,126.8627957
205,강서구 등촌동 510-13,37.54869160000001,126.8631104
206,강서구 등촌동 511-5,37.54676420000001,126.862563
207,강서구 등촌동 657-5,37.556714,126.8508277
208,금천구 독산동 719-14,37.4591539,126.8892535
209,강동구 길동 348-6,37.5398622,127.1411062
210,강서구 등촌동 684- ,37.5675119,126.8413213
211,성동구 성수동1가 13-11,37.5508217,127.0505262
212,성동구 성수동1가 33-96,37.5400061,127.0498906
213,성동구 성수동1가 656-216,37.5513241,127.0465732
214,성동구 성수동1가 656-289,37.5490975,127.0448483
215,성동구 성수동2가 289-2,37.5485223,127.0579093
216,성북구 보문동1가 9-3,37.5876274,127.0184717
217,성북구 보문동5가 146-1,37.5831367,127.0202043
218,성북구 삼선동1가 12-1,37.5879443,127.0055642
219,성북구 상월곡동 23-11,37.606897,127.0500249
220,성동구 마장동 522-6,37.5704974,127.0381308
221,성동구 성수동2가 19-1,37.5440254,127.0647534
222,성북구 상월곡동 23-35,37.60721029999999,127.0504893
223,성동구 성수2가동 331-17,37.5387684,127.0558111
224,성북구 상월곡동 23-95,37.6079226,127.0507701
225,성북구 석관동 174-1,37.6126573,127.0613402
226,성북구 안암동4가 41-37,37.5795886,127.0245271
227,송파구 잠실동 84- ,37.5101819,127.07572340000002
228,강동구 명일동 47-20,37.5535948,127.1561958
229,강동구 고덕동 479- ,37.5634881,127.1555246
230,강동구 고덕동 287- ,37.561845,127.1590389
231,강동구 고덕동 287- ,37.561845,127.1590389
232,강동구 고덕동 215- ,37.5598169,127.1675357
233,강동구 암사동 468-2,37.5521324,127.1308164
234,종로구 종로3가 124- ,37.570107,126.99155790000002
235,종로구 종로6가 289-3,37.5704022,127.0089176
236,종로구 종로5가 398-2,37.5701979,127.0016845
237,영등포구 양평1동 37-2,37.5235609,126.8839623
238,중구 남창동 51-10,37.55896970000001,126.9761659
239,영등포구 양평2동 281-0,37.5368002,126.8995361
240,영등포구 양평2동 41-1,37.5389102,126.8910403
241,양천구 목동 642-1,37.544742,126.8644697
242,성북구 안암동5가 104-291,37.58307360000001,127.0291732
243,강동구 암사동 515- ,37.5501979,127.1253584
244,영등포구 양평1동 45-0,37.5239364,126.8835476
245,강서구 화곡동 1109- ,37.55470379999999,126.8533032
246,중구 삼각동 34-1,37.5681062,126.9857646
247,종로구 관철동 10-2,37.5684258,126.9871111
248,종로구 관수동 91-1,37.568583200000006,126.992063
249,동대문구 청량리동 205-2,37.5901613,127.0422642
250,동대문구 장안동 343- ,37.5713811,127.0726368
251,영등포구 양평1동 6-1,37.5228693,126.8849165
252,동대문구 전농동 199-56,37.5804659,127.0546796
253,동대문구 용두동 255-47,37.5709128,127.0280033
254,동대문구 장안동 300- ,37.5780324,127.071482
255,동대문구 장안동 356- ,37.5680383,127.0747756
256,마포구 노고산동 24-4,37.5539068,126.9412187
257,마포구 노고산동 57-50,37.5541375,126.9347693
258,마포구 서교동 391-1,37.55191129999999,126.9154224
259,마포구 동교동 197-17,37.5601708,126.9233138
260,마포구 공덕동 445-1,37.5444177,126.9489996
